what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1331455061093
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1331455061109
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1331455061109
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1331455061125
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1331455061125
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1331455061140
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1331455061156
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1331455061171
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1331455061171
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1331455061187
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1331455061203
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1331455061218
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1331455061218
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1331455061218
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331455061234
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1331455061265
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331455061265
os,sysinfo,,,"win32",1331455061265
arch,sysinfo,,,"x86",1331455061265
ws,sysinfo,,,"win32",1331455061265
locale,sysinfo,,,"es_ES",1331455061265
processors,sysinfo,,,"4",1331455061265
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331455061265
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1331455061265
java.specification.name,sysinfo,,,"Java Platform API Specification",1331455061265
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331455061265
java.specification.version,sysinfo,,,"1.6",1331455061265
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331455061265
java.version,sysinfo,,,"1.6.0_24",1331455061265
java.vm.info,sysinfo,,,"mixed mode, sharing",1331455061265
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331455061265
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331455061265
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331455061265
java.vm.specification.version,sysinfo,,,"1.0",1331455061265
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331455061265
java.vm.version,sysinfo,,,"19.1-b02",1331455061265
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1331455062343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455063484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455065078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455065859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455085859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455086843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455088531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455095312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455108125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455113796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455132078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455133437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455134640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455161546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455164093
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1331455209953
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1331455209984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455210578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1331455210593
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1331455210671
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1331455211093
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1331455211109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455260437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455260453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455260812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331455266656
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1331455269875
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1331455270718
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1331455270812
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455270875
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455271031
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1331455271515
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1331455272343
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455272375
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1331455273406
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455273437
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1331455276218
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455276234
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331455335921
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331455338437
